census_tract,year,ACCESS2_estimate_pct,ACCESS2_low_95_pct,ACCESS2_high_95_pct,BPHIGH_estimate_pct,BPHIGH_low_95_pct,BPHIGH_high_95_pct,CHD_estimate_pct,CHD_low_95_pct,CHD_high_95_pct,CHECKUP_estimate_pct,CHECKUP_low_95_pct,CHECKUP_high_95_pct,CSMOKING_estimate_pct,CSMOKING_low_95_pct,CSMOKING_high_95_pct,HIGHCHOL_estimate_pct,HIGHCHOL_low_95_pct,HIGHCHOL_high_95_pct,LPA_estimate_pct,LPA_low_95_pct,LPA_high_95_pct,OBESITY_estimate_pct,OBESITY_low_95_pct,OBESITY_high_95_pct,chd_above_county_tract_median,chd_interval_entirely_above_median,context_signal_count,context_signal_measure_ids,conservative_signal_count,conservative_signal_measure_ids
01001020100,2023,9.7,7.4,12.3,41.4,37.1,45.7,7.2,6.2,8.1,80.1,76.6,83.3,15.6,12.6,18.9,41.9,37.4,46.2,27.8,22.7,32.9,39.4,31.9,47.2,True,False,4,ACCESS2;CHECKUP;HIGHCHOL;LPA,0,
01001020200,2023,10.6,8.5,13.0,45.9,41.5,50.1,6.5,5.8,7.3,81.8,78.5,84.7,16.7,13.9,19.5,39.7,35.4,44.1,32.0,26.9,37.3,44.7,36.6,52.3,False,False,5,ACCESS2;BPHIGH;CSMOKING;LPA;OBESITY,1,LPA
01001020300,2023,10.6,8.4,13.1,42.9,38.7,47.0,7.3,6.3,8.2,80.6,77.0,83.7,16.1,13.5,18.8,41.8,37.6,46.1,29.9,24.9,34.8,40.3,32.7,47.7,True,False,6,ACCESS2;BPHIGH;CSMOKING;HIGHCHOL;LPA;OBESITY,0,
01001020400,2023,7.9,6.1,10.1,42.4,38.2,46.8,7.5,6.5,8.5,81.7,78.3,84.7,12.9,10.3,15.6,43.4,39.0,47.9,25.5,20.6,30.5,36.9,29.6,44.5,True,False,2,BPHIGH;HIGHCHOL,0,
01001020501,2023,6.2,4.7,7.8,37.2,33.1,41.4,5.4,4.7,6.2,81.3,77.9,84.2,10.0,7.8,12.4,40.5,36.2,44.9,20.3,16.3,24.7,34.7,27.7,42.0,False,False,0,,0,
01001020502,2023,7.5,5.9,9.2,34.9,30.9,38.9,4.4,3.8,4.9,79.7,76.2,83.0,11.7,9.4,14.1,35.6,31.5,39.7,22.3,18.1,26.6,38.2,30.9,45.5,False,False,1,CHECKUP,0,
01001020503,2023,8.1,6.3,10.0,39.3,35.1,43.4,6.1,5.3,6.9,80.8,77.2,83.8,12.7,10.0,15.6,39.6,35.4,43.9,25.3,21.0,30.2,38.1,30.7,45.4,False,False,0,,0,
01001020600,2023,10.3,8.3,12.4,41.8,37.4,45.9,6.8,6.0,7.7,80.5,77.1,83.6,15.7,12.9,18.7,41.2,36.7,45.5,28.2,23.4,33.4,40.7,33.0,48.1,False,False,4,ACCESS2;CSMOKING;LPA;OBESITY,0,
01001020700,2023,10.2,8.1,12.5,42.3,38.1,46.4,7.1,6.3,7.9,80.1,76.5,83.2,17.2,14.2,20.0,40.3,36.0,44.7,30.3,25.2,35.4,42.6,34.8,50.3,True,False,6,ACCESS2;BPHIGH;CHECKUP;CSMOKING;LPA;OBESITY,0,
01001020801,2023,7.4,5.9,9.2,41.4,37.1,45.6,6.8,6.0,7.6,81.2,77.8,84.3,13.8,11.2,16.5,42.7,38.3,47.1,24.5,20.1,29.0,38.4,31.1,45.9,False,False,1,HIGHCHOL,0,
01001020803,2023,11.4,9.3,13.6,45.7,41.2,50.0,8.3,7.4,9.4,80.2,76.7,83.4,20.3,17.2,23.7,42.9,38.4,47.2,33.6,28.3,39.0,44.2,36.3,52.1,True,True,7,ACCESS2;BPHIGH;CHECKUP;CSMOKING;HIGHCHOL;LPA;OBESITY,3,ACCESS2;CSMOKING;LPA
01001020804,2023,5.7,4.6,6.9,33.6,29.6,37.6,4.0,3.6,4.5,80.4,76.9,83.5,9.3,7.6,11.1,37.1,32.8,41.4,18.0,14.7,21.6,34.6,27.7,42.0,False,False,1,CHECKUP,0,
01001020805,2023,7.1,5.9,8.4,39.0,34.8,43.2,6.1,5.4,6.8,80.5,77.1,83.5,12.9,10.8,15.1,41.2,36.7,45.5,23.4,19.3,27.8,36.9,29.6,44.3,False,False,0,,0,
01001020901,2023,9.0,7.4,10.9,38.9,34.7,43.2,6.2,5.5,6.9,78.9,75.3,82.2,16.0,13.5,18.7,40.6,36.2,45.0,26.3,21.9,31.1,38.9,31.4,46.5,False,False,2,CHECKUP;CSMOKING,0,
01001020902,2023,8.6,7.1,10.1,41.9,37.8,46.2,6.6,5.9,7.3,80.6,77.2,83.7,14.6,12.6,17.0,41.8,37.4,46.3,26.3,22.1,30.9,39.4,32.1,47.0,False,False,2,BPHIGH;HIGHCHOL,0,
01001021000,2023,11.2,9.3,13.3,46.3,42.0,50.6,8.4,7.5,9.3,80.5,77.1,83.6,20.0,17.2,23.0,43.7,39.2,48.2,32.9,28.1,37.9,43.7,36.0,51.5,True,True,6,ACCESS2;BPHIGH;CSMOKING;HIGHCHOL;LPA;OBESITY,4,ACCESS2;BPHIGH;CSMOKING;LPA
01001021100,2023,12.2,10.4,14.3,54.3,49.9,58.4,10.0,9.0,11.0,83.5,80.5,86.2,21.3,18.6,24.2,45.0,40.5,49.3,39.5,34.3,44.7,49.1,41.1,56.8,True,True,6,ACCESS2;BPHIGH;CSMOKING;HIGHCHOL;LPA;OBESITY,5,ACCESS2;BPHIGH;CSMOKING;LPA;OBESITY
